股票代號,股票名稱,日期,開盤價,最高價,最低價,收盤價,漲跌,漲幅(%),振幅(%),成交量,成交筆數,成交金額(千),均張,成交量變動(%),均張變動(%),股本(百萬),總市值(億),市值比重(%),本益比,股價淨值比,本益比(近四季),週轉率(%),成交值比重(%),漲跌停,成交量(股)
1519,華城,20190524,23.1,23.1,22.85,22.9,0.05,0.22,1.09,147,86,3377,1.7,-42.35,-5.56,2611,59.8,0.019,20.8,1.86,21.8,0.06,0.003,0,147401
1521,大億,20190524,61.8,62,61.8,62,0,0,0.32,15,12,944,1.3,-72.22,-18.75,762,47.2,0.015,10.9,2.4,14,0.02,0.001,0,15245
1522,堤維西,20190524,28.9,28.9,28.45,28.55,0,0,1.58,1189,810,34147,1.5,-37.94,-11.76,3129,89.3,0.029,15.9,1.33,15.4,0.38,0.033,0,1189352
1524,耿鼎,20190524,10.45,10.5,10.45,10.5,0.1,0.96,0.48,213,60,2234,3.6,545.45,111.76,1797,18.9,0.006,9.7,0.81,9.3,0.12,0.002,0,213000
1525,江申,20190524,57.2,57.3,56.5,56.6,-0.6,-1.05,1.4,62,59,3526,1.1,-38,-8.33,734,41.5,0.013,9.6,0.96,9.2,0.08,0.003,0,62000
1526,日馳,20190524,27.65,28.3,27.3,27.3,-0.35,-1.27,3.62,421,290,11653,1.5,1.2,15.38,600,16.4,0.005,12.4,1.64,13.4,0.71,0.011,0,421500
1527,鑽全,20190524,56.4,57,56.1,56.7,0.3,0.53,1.6,669,518,37954,1.3,-39.46,0,1380,78.2,0.025,9.5,1.92,6,0.49,0.037,0,669366
1528,恩德,20190524,9.2,9.39,9.2,9.34,0.13,1.41,2.06,105,58,978,1.8,208.82,38.46,1993,18.6,0.006,93.1,0.72,95,0.05,0.001,0,105361
1529,樂士,20190524,17.1,17.1,16.7,16.7,-0.45,-2.62,2.33,46,25,779,1.8,-66.67,12.5,660,11,0.004,157.5,1.57,26.7,0.07,0.001,0,46420
1530,亞崴,20190524,30,30.2,30,30,-0.2,-0.66,0.66,18,14,549,1.3,350,30,966,29,0.009,10.7,0.95,8.7,0.02,0.001,0,18258
